,Name,Nationality,Gender,Discipline,AP,RP,Card,Points,Remarks,Event Type,Month,Year,Season,experience_dive,experience_discipline
0,Deborah Andollo,CUB,Female,CWT,61.0,61.0,WHITE,61.0,OK,Worldrecord attempt,6,1994,Summer,1,1
1,Umberto Pelizzari,ITA,Male,CWT,72.0,72.0,WHITE,72.0,OK,Worldrecord attempt,9,1995,Autumn,1,1
2,Deborah Andollo,CUB,Female,CWT,62.0,62.0,WHITE,62.0,OK,Worldrecord attempt,10,1996,Autumn,2,2
3,Michael Oliva,FRA,Male,CWT,72.0,72.0,WHITE,72.0,OK,Worldrecord attempt,10,1996,Autumn,1,1
4,Alejandro Ravelo,CUB,Male,CWT,73.0,73.0,WHITE,73.0,OK,Worldrecord attempt,8,1997,Summer,1,1
5,Umberto Pelizzari,ITA,Male,CWT,75.0,75.0,WHITE,75.0,OK,Worldrecord attempt,9,1997,Autumn,2,2
6,Deborah Andollo,CUB,Female,CWT,0.0,65.0,WHITE,65.0,OK,Worldrecord attempt,12,1997,Winter,3,3
7,Alexandra Louzine,CZE,Female,CWT,35.0,35.0,WHITE,35.0,OK,Worldrecord attempt,9,1998,Autumn,1,1
8,Tanya Streeter,USA,Female,CWT,67.0,67.0,WHITE,67.0,OK,Worldrecord attempt,9,1998,Autumn,1,1
9,Andy Le Sauce,FRA,Male,CWT,0.0,56.0,WHITE,56.0,OK,Competition,1,1999,Winter,1,1
10,Alain Dujet,FRA,Male,CWT,0.0,52.0,WHITE,52.0,OK,Competition,1,1999,Winter,1,1
11,Bernard Hugues,FRA,Male,CWT,0.0,60.0,WHITE,60.0,OK,Competition,1,1999,Winter,1,1
12,Jean-Pol François,BEL,Male,CWT,0.0,51.0,WHITE,51.0,OK,Competition,1,1999,Winter,1,1
13,Claude Chapuis,FRA,Male,CWT,0.0,59.0,WHITE,59.0,OK,Competition,1,1999,Winter,1,1
14,Stéphane Mifsud,FRA,Male,CWT,0.0,49.0,WHITE,49.0,OK,Competition,1,1999,Winter,1,1
15,Frédéric Buyle,BEL,Male,CWT,0.0,60.0,WHITE,60.0,OK,Competition,1,1999,Winter,1,1
16,Nathalie Desreac,FRA,Female,CWT,0.0,51.0,WHITE,51.0,OK,Competition,1,1999,Winter,1,1
17,Mathilde Fouchard,FRA,Female,CWT,0.0,32.0,WHITE,32.0,OK,Competition,1,1999,Winter,1,1
18,Maren Isigkeit,GER,Female,CWT,0.0,32.0,WHITE,32.0,OK,Competition,1,1999,Winter,1,1
19,Birgit Ehrenbolger,CHE,Female,CWT,0.0,43.0,WHITE,43.0,OK,Competition,1,1999,Winter,1,1
20,Dorothee Duchet,FRA,Female,CWT,0.0,34.0,WHITE,34.0,OK,Competition,1,1999,Winter,1,1
21,Sharanne Wheeler,USA,Female,CWT,0.0,25.0,WHITE,25.0,OK,Competition,1,1999,Winter,1,1
22,Miriam Lambert,CZE,Female,CWT,0.0,26.0,WHITE,26.0,OK,Competition,1,1999,Winter,1,1
23,Hubert Maier,GER,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
24,Gaspare Battaglia,ITA,Male,CWT,0.0,52.0,WHITE,52.0,OK,Competition,1,1999,Winter,1,1
25,Benjamin Franz,GER,Male,CWT,0.0,53.0,WHITE,53.0,OK,Competition,1,1999,Winter,1,1
26,Eric Chapuis,FRA,Male,CWT,0.0,58.0,WHITE,58.0,OK,Competition,1,1999,Winter,1,1
27,Oliver Heuleu,FRA,Male,CWT,0.0,54.0,WHITE,54.0,OK,Competition,1,1999,Winter,1,1
28,Jean-Michel Pardon,FRA,Male,CWT,0.0,53.0,WHITE,53.0,OK,Competition,1,1999,Winter,1,1
29,Frederic Taisne,FRA,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
30,Bill Strömberg,SWE,Male,CWT,0.0,51.0,WHITE,51.0,OK,Competition,1,1999,Winter,1,1
31,Alexandra Louzine,CZE,Female,CWT,0.0,41.0,WHITE,41.0,OK,Competition,1,1999,Winter,2,2
32,Kerstin Mattes,GER,Female,CWT,0.0,22.0,WHITE,22.0,OK,Competition,1,1999,Winter,1,1
33,Sophie Delmarre,FRA,Female,CWT,0.0,10.0,WHITE,10.0,OK,Competition,1,1999,Winter,1,1
34,Pierre Frolla,MCO,Male,CWT,0.0,56.0,WHITE,56.0,OK,Competition,1,1999,Winter,1,1
35,Brett Le Master,USA,Male,CWT,0.0,55.0,WHITE,55.0,OK,Competition,1,1999,Winter,1,1
36,Eric Hoarau,FRA,Male,CWT,0.0,54.0,WHITE,54.0,OK,Competition,1,1999,Winter,1,1
37,Yoram Zekri,FRA,Male,CWT,0.0,53.0,WHITE,53.0,OK,Competition,1,1999,Winter,1,1
38,Davide Carrera,ITA,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
39,Roberto Chiozzotto,ITA,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
40,Dieter Baumann,AUT,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
41,Yasemin Dalkilic,TUR,Female,CWT,0.0,46.0,WHITE,46.0,OK,Competition,1,1999,Winter,1,1
42,Karoline Meyer,BRA,Female,CWT,0.0,40.0,WHITE,40.0,OK,Competition,1,1999,Winter,1,1
43,Anatoliy Baklanov,Unknown,Male,CWT,0.0,51.0,WHITE,51.0,OK,Competition,1,1999,Winter,1,1
44,Abri Retief,ZAF,Male,CWT,0.0,50.0,WHITE,50.0,OK,Competition,1,1999,Winter,1,1
45,Trevor Hutton,ZAF,Male,CWT,0.0,54.0,WHITE,54.0,OK,Competition,1,1999,Winter,1,1
46,Pierre Frolla,MCO,Male,FIM,0.0,72.0,WHITE,72.0,OK,Worldrecord attempt,10,1999,Autumn,2,1
47,Umberto Pelizzari,ITA,Male,CWT,80.0,80.0,WHITE,80.0,OK,Worldrecord attempt,10,1999,Autumn,3,3
48,Brett Le Master,USA,Male,CWT,81.0,81.0,WHITE,81.0,OK,Worldrecord attempt,11,1999,Autumn,2,2
49,Andy Le Sauce,FRA,Male,CWT,0.0,56.0,WHITE,56.0,OK,Competition,1,2000,Winter,2,2
50,Herbert Nitsch,AUT,Male,CWT,0.0,66.0,WHITE,66.0,OK,Competition,1,2000,Winter,1,1
51,Alain Dujet,FRA,Male,CWT,0.0,63.0,WHITE,63.0,OK,Competition,1,2000,Winter,2,2
52,Bernard Hugues,FRA,Male,CWT,0.0,62.0,WHITE,62.0,OK,Competition,1,2000,Winter,2,2
